preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
189899,8906;4;6;2;2;1;56,29999924;24;729,878418;2943,154053;521,815979;3495,334961;3373
779998,9375;3;1;4;4;4;226,9199982;24;804,1975098;220,1053925;3228,99292;2961,040039;3437,330078
153611,875;4;3;2;2;1;64,36000061;21;1399,225952;1441,72998;1110,104004;2144,606934;2386,76001
1729001,25;3;2;4;4;5;367,2600098;36;233,5236053;3642,772949;479,1825867;3791,876953;4707,839844
691699,0625;2;5;4;4;5;250,1000061;36;1402,827026;937,4224243;2110,833984;3811,775879;2765,689941
309999,9375;6;3;3;2;2;102,6999969;21;2694,968994;1016,609009;1517,505981;4466,930176;3018,5
245134,125;2;4;4;2;2;101,0199966;27;2753,727051;1274,042969;646,0322876;4862,243164;2426,590088
4881168;5;5;4;4;7;494,9299927;36;338,8189087;861,4594116;4031,604004;884,2703247;9862,339844
931398,875;7;12;4;3;4;230,3999939;36;1936,134033;72,35353088;212,1820068;3787,798096;4042,530029
225200,4063;5;6;3;2;2;86,44000244;27;1238,896973;327,1448975;2847,235107;4481,879883;2605,280029
308680;8;3;3;2;1;106,2600021;30;1017,500977;133,651001;951,3449707;6487,129883;2904,949951
164899,875;2;6;3;2;2;87,5;27;415,4122925;1115,045044;2004,959961;846,3143921;1884,569946
174899,7813;2;2;3;2;2;104,3199997;22;473,4377136;902,2147827;6469,456055;2331,050049;1676,569946
197999,7188;2;6;3;2;2;95,58000183;28;1623,501953;1207,942993;565,3859863;1084,504028;2071,560059
537999,75;3;9;4;3;3;225;36;482,8337097;2545,166016;759,7692261;2746,169922;2391,110107
458999,9375;6;7;4;3;3;134,8999939;29;1233,161987;977,9354248;606,2406006;2722,716064;3402,52002
305000;2;11;3;3;2;123,0299988;0;1201,599976;538,4909058;4629,63623;1033,458984;2479,070068
1583990,625;7;2;4;4;5;335;45;1740,258057;1633,775024;1762,588989;1844,626953;4728,330078
245590,1719;4;4;2;2;1;70,36000061;25;1244,333008;659,1262817;985,6901245;1561,041992;3490,47998
266889,7188;2;11;2;2;2;94,13999939;31;1166,620972;1169,301025;980,4818115;2095;2835,030029
609999,4375;4;11;4;4;4;173,3800049;37;2037,503052;1766,046997;1546,578979;1490,680054;3518,280029
53360,14063;2;3;2;1;1;45,97000122;15;3205,087891;1522,636963;1340,258057;4368,457031;1160,76001
105000,2031;2;11;2;2;1;53,08000183;29;1670,480957;1285,275024;661,6057739;1055,126953;1978,150024
1523999;7;7;4;4;4;271,0299988;13;1060,552979;2261,284912;1327,499023;1454,442993;5622,990234
81000,07031;3;2;2;2;1;61;26;3831,091064;409,7923889;3681,99292;2983,977051;1327,869995
;6;8;6;6;12;;17;826,3590698;1290,939941;3498,851074;775,645874;6211,649902
591951,625;3;11;4;3;3;180;13;2010,005005;168,0950928;626,4489136;2051,327881;3288,620117
180000,0156;3;6;3;2;1;63,04000092;24;1240,881958;1196,446045;4068,375977;1194,364014;2855,330078
102999,9297;3;9;2;2;1;51,36999893;29;228,1089935;249,0807037;3462,393066;3098,493896;2005,060059
214131,4844;4;10;3;2;2;94,73000336;29;77,30452728;535,9553833;3292,927002;3479,399902;2260,439941
226879,9531;7;12;2;1;1;54,66999817;28;817,5101929;3032,5;609,7666016;3346,187012;4149,990234
62900,05078;3;4;2;1;1;45,68999863;18;1662,355957;166,3748016;5662,431152;6138,961914;1376,670044
134999,8125;2;2;2;2;1;55,02000046;22;2203,172119;598,015625;5001,543945;1165,630005;2453,649902
305000,25;5;8;3;2;2;86,01999664;35;990,2019043;196,7404938;776,5421753;4673,390137;3545,689941
362723,25;7;12;4;3;2;126,6200027;34;541,1390991;288,9071045;2542,521973;648,4605713;2864,659912
650000,4375;2;12;4;3;4;209;2;1700,779053;642,5820923;1011,35199;4967,311035;3110,050049
345617,5;5;11;4;4;2;125;30;314,5682983;1221,782959;1950,82605;929,6671143;2764,939941
1100000;6;10;4;3;4;220;0;1240,953979;2247,753906;1174,55603;1274,819946;5000
201359,7344;6;12;3;2;2;86,05999756;30;305,0076904;741,0170288;6874,187988;2903,910889;2339,76001
103900,0391;4;9;2;1;1;50,02000046;27;867,3109131;860,430603;1384,621948;3134,488037;2077,169922
59880,10547;2;9;2;1;1;50,15000153;18;2129,60498;949,4315796;328,4295959;3484,39502;1194,02002
58000,08203;4;7;2;1;1;55,52000046;0;796,5709229;444,9588013;6609,14209;1129,712036;1044,670044
1149999,75;5;3;1;1;4;221,2899933;30;811,5620728;3144,806885;549,4160767;3117,925049;5196,799805
579999,125;5;2;4;4;3;203,3800049;21;3403,695068;1454,719971;1360,334961;4940,815918;2851,800049
1257799,625;7;9;4;4;4;274,4400024;31;806,2609253;246,1735992;3344,785889;2800,906982;4583,149902
